tbl_clicks@1460537147
click_id,click_total,click_latitude,click_longitude,click_accuracy,click_address,click_timestamp
88,1,54.0056169,-2.7850549,10.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459952746
89,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952757
90,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952758
91,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952758
92,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952760
93,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952771
94,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952777
95,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952807
96,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952822
97,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952827
98,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952828
99,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952829
100,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952829
101,2,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952830
102,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952830
103,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952895
104,2,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952943
105,1,54.005606,-2.7850508,13.00100040435791,South Dr Bailrigg Lancaster, Lancashire LA1,1459952981
106,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954098
107,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954102
108,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954103
109,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954105
110,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954108
111,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954108
112,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954110
113,2,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954113
114,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954113
115,2,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954114
116,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954114
117,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954116
118,1,54.005624,-2.7850654,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954118
119,1,54.0056109,-2.7850695,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954119
120,1,54.0056109,-2.7850695,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954120
121,1,54.0056109,-2.7850695,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954122
122,1,54.0056109,-2.7850695,20.0,South Dr Bailrigg Lancaster, Lancashire LA1,1459954124
123,1,54.0056119,-2.7850508,14.142000198364258,South Dr Bailrigg Lancaster, Lancashire LA1,1459954125
124,1,54.0056119,-2.7850508,14.142000198364258,South Dr Bailrigg Lancaster, Lancashire LA1,1459954126
125,1,54.0056119,-2.7850508,14.142000198364258,South Dr Bailrigg Lancaster, Lancashire LA1,1459954128
126,1,54.0056119,-2.7850508,14.142000198364258,South Dr Bailrigg Lancaster, Lancashire LA1,1459954129
127,1,54.0056147,-2.7850509,12.25,South Dr Bailrigg Lancaster, Lancashire LA1,1459954131
128,1,54.0056161,-2.7850525,10.92300033569336,South Dr Bailrigg Lancaster, Lancashire LA1,1459954136
129,1,54.0056161,-2.7850525,10.92300033569336,South Dr Bailrigg Lancaster, Lancashire LA1,1459954139
130,1,54.0056161,-2.7850525,10.92300033569336,South Dr Bailrigg Lancaster, Lancashire LA1,1459954140
